,Station,start,stop,freq,#,mean
0,Auchencorth Moss,2006-06-01,2018-12-31,daily,2905,0.935075514006068
1,Birkenes II,2006-06-01,2007-02-04,daily,58,0.9178228558266942
2,Campisabalos,2004-05-06,2018-12-28,daily,639,0.7858703925044811
3,Chilbolton Observatory,2016-02-11,2018-12-31,hourly,17296,0.9203390734066054
4,Els Torms,2012-06-01,2018-12-30,daily,335,0.9682472246959443
5,Harwell,2011-01-01,2013-12-31,daily,521,1.0529154140049364
6,Illmitz,1999-11-14,2000-11-02,daily,49,0.9360310560045321
7,Ispra,2002-01-21,2013-02-08,daily,1152,1.1919970788802805
8,Melpitz,2004-01-01,2015-12-31,daily,4252,0.9419362468010742
9,Montelibretti,2006-06-01,2013-02-08,daily,65,1.49377374371483
10,Montseny,2004-01-30,2014-12-30,daily,698,1.0978542532474025
11,Niembro,2012-06-01,2019-12-28,daily,441,0.793055701192534
12,Revin,2013-01-24,2013-01-24,daily,1,8.438202247191011
13,San Pablo de los Montes,2012-06-01,2018-12-30,daily,395,0.7955252626365114
14,Virolahti II,2006-06-19,2007-02-05,weekly,9,0.925710753715904
15,Víznar,2012-06-01,2018-12-30,daily,384,0.9289819140178089
